protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armD_randomized_discarded,s1,otp,16KiB,16384,1000,200,0,30.366,28.759,31.161,36.156,28.701,28.835
E2_armD_randomized_discarded,s1,anon,16KiB,16384,1000,200,1,156.953,154.390,164.580,207.810,154.237,154.647
E2_armD_randomized_discarded,s1,approval,128B,128,1000,200,2,12.090,11.985,12.893,14.456,11.971,11.997
E2_armD_randomized_discarded,s1,approval,16KiB,16384,1000,200,3,35.141,28.635,31.618,38.951,28.622,28.648
E2_armD_randomized_discarded,s1,otp,128B,128,1000,200,4,11.845,11.750,12.142,13.602,11.746,11.756
E2_armD_randomized_discarded,s1,anon,128B,128,1000,200,5,13.730,13.539,14.941,15.889,13.531,13.548
E2_armD_randomized_discarded,s1,otp,1KiB,1024,1000,200,6,12.926,12.768,13.512,16.602,12.761,12.773
E2_armD_randomized_discarded,s1,direct,16KiB,16384,1000,200,7,35.178,28.589,31.114,38.629,28.572,28.607
E2_armD_randomized_discarded,s1,anon,1KiB,1024,1000,200,8,22.828,22.099,25.017,36.289,22.017,22.142
E2_armD_randomized_discarded,s1,direct,128B,128,1000,200,9,11.899,11.702,13.040,14.769,11.694,11.712
E2_armD_randomized_discarded,s1,direct,1KiB,1024,1000,200,10,12.915,12.725,14.055,16.285,12.718,12.731
E2_armD_randomized_discarded,s1,approval,1KiB,1024,1000,200,11,12.932,12.800,13.327,15.442,12.795,12.806
