session,label,scope_set_size,payload,bytes,order_index,stage,n,mean_us,p50_us,p95_us,p99_us
s5,scope_0_unscoped,0,128B,128,0,validate_plus_scope_check,1000,8.042,7.912,8.427,10.160
s5,scope_0_unscoped,0,128B,128,0,authorize_hitl,1000,0.131,0.129,0.141,0.163
s5,scope_0_unscoped,0,128B,128,0,execute_vault,1000,4.774,4.724,4.911,6.105
s5,scope_0_unscoped,0,128B,128,0,filter_pii,1000,0.333,0.327,0.353,0.414
s5,scope_0_unscoped,0,128B,128,0,total,1000,13.280,13.084,13.879,16.474
s5,scope_0_unscoped,0,1KiB,1024,0,validate_plus_scope_check,1000,8.201,8.033,9.209,12.135
s5,scope_0_unscoped,0,1KiB,1024,0,authorize_hitl,1000,0.134,0.131,0.146,0.175
s5,scope_0_unscoped,0,1KiB,1024,0,execute_vault,1000,5.882,5.780,6.136,8.906
s5,scope_0_unscoped,0,1KiB,1024,0,filter_pii,1000,0.928,0.907,0.957,1.516
s5,scope_0_unscoped,0,1KiB,1024,0,total,1000,15.146,14.861,16.550,22.524
s5,scope_0_unscoped,0,16KiB,16384,0,validate_plus_scope_check,1000,8.315,8.069,9.231,13.363
s5,scope_0_unscoped,0,16KiB,16384,0,authorize_hitl,1000,0.130,0.127,0.149,0.204
s5,scope_0_unscoped,0,16KiB,16384,0,execute_vault,1000,22.083,21.682,23.370,28.447
s5,scope_0_unscoped,0,16KiB,16384,0,filter_pii,1000,10.145,9.991,10.499,14.049
s5,scope_0_unscoped,0,16KiB,16384,0,total,1000,40.672,39.864,42.928,53.347
s5,scope_1_small,1,128B,128,1,validate_plus_scope_check,1000,8.080,8.035,8.359,9.677
s5,scope_1_small,1,128B,128,1,authorize_hitl,1000,0.136,0.131,0.167,0.193
s5,scope_1_small,1,128B,128,1,execute_vault,1000,4.686,4.668,4.785,6.113
s5,scope_1_small,1,128B,128,1,filter_pii,1000,0.307,0.302,0.326,0.338
s5,scope_1_small,1,128B,128,1,total,1000,13.209,13.147,13.663,15.082
s5,scope_1_small,1,1KiB,1024,1,validate_plus_scope_check,1000,8.071,8.017,8.413,9.650
s5,scope_1_small,1,1KiB,1024,1,authorize_hitl,1000,0.126,0.125,0.141,0.159
s5,scope_1_small,1,1KiB,1024,1,execute_vault,1000,5.765,5.726,5.914,7.051
s5,scope_1_small,1,1KiB,1024,1,filter_pii,1000,0.878,0.869,0.896,0.936
s5,scope_1_small,1,1KiB,1024,1,total,1000,14.840,14.738,15.472,16.842
s5,scope_1_small,1,16KiB,16384,1,validate_plus_scope_check,1000,8.130,8.049,8.611,9.903
s5,scope_1_small,1,16KiB,16384,1,authorize_hitl,1000,0.134,0.132,0.150,0.171
s5,scope_1_small,1,16KiB,16384,1,execute_vault,1000,21.449,21.264,22.917,23.616
s5,scope_1_small,1,16KiB,16384,1,filter_pii,1000,9.841,9.769,10.024,11.328
s5,scope_1_small,1,16KiB,16384,1,total,1000,39.554,39.213,41.243,42.882
s5,scope_20_large,20,128B,128,2,validate_plus_scope_check,1000,10.738,10.488,11.695,15.816
s5,scope_20_large,20,128B,128,2,authorize_hitl,1000,0.159,0.155,0.176,0.224
s5,scope_20_large,20,128B,128,2,execute_vault,1000,4.826,4.743,5.030,7.026
s5,scope_20_large,20,128B,128,2,filter_pii,1000,0.312,0.305,0.330,0.448
s5,scope_20_large,20,128B,128,2,total,1000,16.035,15.709,17.346,22.386
s5,scope_20_large,20,1KiB,1024,2,validate_plus_scope_check,1000,10.196,10.088,10.823,13.246
s5,scope_20_large,20,1KiB,1024,2,authorize_hitl,1000,0.187,0.183,0.200,0.258
s5,scope_20_large,20,1KiB,1024,2,execute_vault,1000,5.878,5.829,6.132,7.767
s5,scope_20_large,20,1KiB,1024,2,filter_pii,1000,0.901,0.890,0.933,1.054
s5,scope_20_large,20,1KiB,1024,2,total,1000,17.163,17.023,18.457,21.313
s5,scope_20_large,20,16KiB,16384,2,validate_plus_scope_check,1000,10.955,10.539,12.334,17.176
s5,scope_20_large,20,16KiB,16384,2,authorize_hitl,1000,0.164,0.157,0.200,0.270
s5,scope_20_large,20,16KiB,16384,2,execute_vault,1000,22.295,21.822,24.349,28.138
s5,scope_20_large,20,16KiB,16384,2,filter_pii,1000,10.162,10.007,10.703,12.908
s5,scope_20_large,20,16KiB,16384,2,total,1000,43.576,42.541,48.080,54.488
